NAME,neighbourhood_group,neighbourhood,room_type,price,number_of_reviews,last_review
CHARMING STUDIO APARTMENT,Manhattan,Upper West Side,Entire home/apt,330,11,25/11/2017
PRIME LOCATION - BEAUTIFUL 3BR ARTIST OASIS W/DECK,Manhattan,Chelsea,Entire home/apt,165,159,25/05/2019
BEAUTIFUL BUSHWICK - 3BR APARTMENT,Manhattan,Harlem,Private room,155,14,09/12/2018
LARGE ROOM IN A GREAT NEIGHBORHOOD,Brooklyn,Williamsburg,Entire home/apt,169,51,02/06/2019
RELAXING BROOKLYN OASIS - PRIME LOCATION,Brooklyn,Bedford-Stuyvesant,Entire home/apt,139,124,25/06/2019
STAY IN HARLEM 1 - 3 MONTHS!,Queens,Astoria,Private room,70,25,30/07/2016
LUX BLG-PRIME AREA! LG PRIVATE RM & BATH W/VIEWS!,Brooklyn,East New York,Private room,135,173,02/07/2019
"SPACIOUS ROOM AT BROOME ST, LES",Manhattan,Lower East Side,Entire home/apt,99,8,27/02/2018
CHARMING 1BR NEAR UNION SQUARE,Manhattan,Nolita,Entire home/apt,250,30,24/05/2019
HISTORIC UPPER WEST SIDE TOWNHOUSE,Brooklyn,Fort Greene,Private room,100,5,30/07/2018
MODERN/SPACIOUS 4BR +TENT PERFECT FOR LARGE GROUPS,Brooklyn,Bedford-Stuyvesant,Entire home/apt,128,89,29/12/2018
"COZY SPACE IN HARLEM, MANHATTAN",Brooklyn,Sunset Park,Entire home/apt,121,8,27/04/2019
WAKE UP IN THE CITY THAT NEVER SLEEPS,Brooklyn,Crown Heights,Entire home/apt,160,36,15/06/2019
"SIMPLE, SWEET IN NOLITA-NYC",Manhattan,Gramercy,Entire home/apt,275,30,22/06/2019
SUNNY ROOM IN HISTORIC WILLIAMSBURG LOFT,Manhattan,East Village,Entire home/apt,189,138,23/06/2019
BEAUTIFUL MANHATTAN 1BR APARTMENT CLOSE TO SUBWAY!,Brooklyn,Cypress Hills,Entire home/apt,99,148,26/06/2019
*SPLENDID* FANTASTIC 2 BR APT NEAR MANY HOSPITALS,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,120,29/06/2019
IT'S ALWAYS SUNNY IN WILLIAMSBURG!,Manhattan,Harlem,Entire home/apt,145,115,29/06/2019
LARGE ROOM IN GREENWICH VILLAGE,Manhattan,East Harlem,Private room,100,64,01/06/2019
SUNNY ROOM IN BUSHWICK; MINUTES FROM SUBWAY!,Brooklyn,Crown Heights,Entire home/apt,220,55,01/01/2019
"SUNNY, COMFY ROOM IN QUIET PARK SLOPE APMT",Brooklyn,Williamsburg,Private room,100,62,26/05/2019
REDUCED$ EASTVILLAGE ENTIRE 1BD APT,Queens,Ridgewood,Private room,59,142,16/06/2019
PRIVATE BEDROOM IN BK BROWNSTONE,Brooklyn,Bedford-Stuyvesant,Entire home/apt,78,81,31/08/2018
MILLION DOLLAR LISTING :TIMES SQUARE,Bronx,Mott Haven,Entire home/apt,75,85,09/06/2019
STUDY IN 1885 GOTHIC BROWNSTONE.,Brooklyn,Bedford-Stuyvesant,Private room,78,86,30/06/2019
COZY NEW YORK STUDIO,Brooklyn,Greenpoint,Private room,69,25,12/02/2019
BEAUTIFUL STUDIO IN THE UPPER EAST (30 DAYS MIN),Manhattan,Chinatown,Entire home/apt,785,85,30/06/2019
COMFY BEDROOM QUITE NEIGHBORHOOD ,Queens,Middle Village,Entire home/apt,99,160,05/07/2019
COZY ROOM IN A QUITE NEIGHBORHOOD,Queens,Sunnyside,Private room,74,9,24/08/2018
QUIET PRIVATE RETREAT HIGH ABOVE BROOKLYN.,Queens,Woodside,Entire home/apt,105,216,18/06/2019
I LOVE BROOKLYN PRIVATE 1-BR APT,Manhattan,Upper West Side,Private room,90,146,23/06/2019
COMFY ROOM FAMILY HOME LGA AIRPORT NO CLEANING FEE,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,92,192,06/07/2019
STUNNING TOWNHOUSE IN PARK SLOPE,Manhattan,Kips Bay,Entire home/apt,185,5,03/07/2018
"SPACIOUSROOM IN THE HEART OF NEW YORK,TIMES SQUARE",Manhattan,Chelsea,Entire home/apt,160,11,02/01/2017
COZY PRIVATE ROOM FOR ONE FEMALE,Manhattan,Chelsea,Entire home/apt,93,12,18/02/2019
1BD IN A SUNNY 2 BD FT. GREENE APT,Manhattan,West Village,Entire home/apt,300,13,20/05/2019
MONTHLY RENTAL IN CROWN HEIGHTS,Manhattan,Chelsea,Entire home/apt,370,8,28/08/2014
"SUNNY 1000 SQFT, HEART OF CROWN HTS",Brooklyn,South Slope,Entire home/apt,200,4,28/06/2019
HARLEM STYLE SPACIOUS AND SUNNY,Manhattan,Midtown,Private room,125,55,27/06/2019
CONVENIENCE & CHILL,Brooklyn,Bushwick,Private room,46,55,02/01/2019
PERFECT ONE BEDROOM IN GREENPOINT,Brooklyn,Williamsburg,Entire home/apt,150,37,26/04/2019
3BDR ARCHITECT'S GARDEN HOME,Manhattan,Washington Heights,Private room,80,1,25/05/2019
LIC SUPER SUNNY & SPACIOUS 1BR APT,Brooklyn,Sheepshead Bay,Entire home/apt,300,8,09/01/2017
PERFECT TIMES SQUARE 1 BEDROOM ,Brooklyn,Brooklyn Heights,Private room,110,1,01/10/2015
"AIRY, MODERN, LARGE ROOM W'BURG TWO BLOCKS SUBWAY",Manhattan,Upper East Side,Entire home/apt,200,49,02/12/2018
BRIGHT ROOM IN TOWNHOUSE WITH YARD!,Brooklyn,Greenpoint,Entire home/apt,129,15,30/06/2019
METRO RETREAT  - - HARLEM,Manhattan,Upper East Side,Entire home/apt,185,18,20/05/2019
"COZY, CONVENIENT, CLEAN & COLORFUL!",Brooklyn,Fort Greene,Entire home/apt,316,29,23/06/2019
FURNISHED STUDIOB UES (30 DAYS MIN),Manhattan,Hell's Kitchen,Entire home/apt,175,1,24/09/2014
SOOTHING PLACE IN THE CITY,Brooklyn,Crown Heights,Private room,72,6,15/06/2016
CHEZ LOUISE SUNNY BK GARDEN APT.,Manhattan,Lower East Side,Entire home/apt,150,60,25/06/2019
NORTH BROOKLYN EXPERIENCE.,Brooklyn,Williamsburg,Entire home/apt,225,257,23/06/2019
GLORIOUS MORNINGS TOWNHOUSE,Brooklyn,Crown Heights,Entire home/apt,200,153,24/06/2019
"EXTRA LARGE ROOM IN HUGE, SERENE HARLEM BROWNSTONE",Queens,Ridgewood,Entire home/apt,89,10,18/03/2019
UES LRG 1BR SLEEPS 4~61ST~GR8 VALUE,Brooklyn,Williamsburg,Entire home/apt,285,89,23/06/2019
COSY STYLE PRIVATE BEDROOM WITH QUEEN BED,Brooklyn,Crown Heights,Private room,70,10,08/06/2019
COZY 2BDR 1 BLOCK FROM CENTRAL PARK,Manhattan,Upper East Side,Entire home/apt,300,3,30/11/2017
WARM AND INVITING 1 BEDROOM IN FORT GREENE,Brooklyn,Brooklyn Heights,Entire home/apt,220,3,04/11/2018
ECLECTIC LOFT 20 MIN-> UNION SQ! ,Manhattan,Washington Heights,Private room,69,18,04/05/2019
PARK SLOPE TOWNHOUSE APARTMENT,Brooklyn,Greenpoint,Entire home/apt,120,77,16/05/2016
"STAY IN BEAUTIFUL CARROLL GARDENS, BROOKLYN!! 1BD",Manhattan,East Harlem,Private room,69,60,29/06/2019
BEAUTIFUL BIG ROOM IN CARROLL GARDENS BROOKLYN!!!,Manhattan,Harlem,Private room,54,21,29/04/2019
CLOSE TO LGA/JFK & 15MIN TO MIDTOWN,Manhattan,Washington Heights,Private room,50,24,27/06/2019
2BR PRIME WEST VILLAGE~SLEEPS 5,Manhattan,Washington Heights,Private room,51,20,15/06/2019
TINY COZY ROOM IN WEST HARLEM!,Bronx,Allerton,Private room,49,114,29/06/2019
BEAUTIFUL ROOM IN MANHATTAN,Brooklyn,Bushwick,Entire home/apt,125,25,13/08/2018
REMSEN VILLAGE RENTAL,Manhattan,East Harlem,Entire home/apt,135,225,01/07/2019
NEW YORK CITY!!! LOCATION LOCATION!,Manhattan,Harlem,Entire home/apt,95,36,30/04/2019
FULLY FURNISHED BROWNSTONE BEDROOM,Brooklyn,Bushwick,Private room,55,225,30/06/2019
SUN FILLED 1BR IN ARTSY FORT GREENE,Brooklyn,Brownsville,Private room,47,118,10/06/2019
BOHEMIAN STUDIO LOFT IN BROOKLYN,Manhattan,Washington Heights,Private room,39,48,12/06/2019
LARGE BOHEMIAN STUDIO- GRAMERCY!,Manhattan,Chelsea,Entire home/apt,349,19,04/05/2019
APT AVAILABLE - BEST NYC LOCATION,Brooklyn,Williamsburg,Entire home/apt,250,7,26/04/2019
SPACIOUS FULL 1 BEDROOM APARTMENT,Manhattan,East Village,Entire home/apt,290,90,14/06/2019
"NEW YORK BROOKLYN MIDWOOD AREA
PRIVATE ROOM",Brooklyn,Vinegar Hill,Private room,85,83,31/05/2019
SPACIOUS EAST HARLEM APARTMENT WITH SUNSET VIEWS,Brooklyn,Prospect Heights,Entire home/apt,150,25,06/07/2019
CHARMING 2BR BROWNSTONE NEAR SUBWAY,Brooklyn,Williamsburg,Entire home/apt,240,87,28/06/2019
"CHARMING ROOM IN LUXE NEW HOME, NEAR C/3 SUBWAYS",Brooklyn,Williamsburg,Entire home/apt,500,48,05/05/2019
"UPPER WEST SIDE,WASHINGTON BRIDGE,TIME SQUARE 30'",Queens,Sunnyside,Private room,48,33,28/06/2019
CLEAN AND STYLISH EAST VILLAGE PAD,Manhattan,Hell's Kitchen,Entire home/apt,750,16,19/08/2015
NEWLY RENOVATED 1BR+ IN PARK SLOPE,Manhattan,SoHo,Entire home/apt,180,9,14/04/2019
SUNNY 2BR FLEX W/CITYVIEW FROM BED!,Queens,Long Island City,Private room,70,1,25/08/2018
SPACIOUS PRIVATE WEST VILLAGE STUDIO,Manhattan,East Village,Entire home/apt,122,7,16/05/2019
BEAUTIFUL 1BD/ NEW RENOVATIONS/ELEV,Bronx,Allerton,Private room,47,75,05/07/2018
"TRIPLEX 3 BEDROOM PRIVATE APT, DECK, YARD & POND!",Brooklyn,Prospect Heights,Entire home/apt,140,12,04/09/2017
"MODERN WILLIAMSBURG APT. COMFORT, STYLE, EASE!",Bronx,Mott Haven,Private room,55,231,22/06/2019
CHARMING 1-BR IN GRAMERCY,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,1,24/10/2014
"SUN FILLED ROOM- MANHATTAN, STEPS TO EXPRESS TRAIN",Manhattan,Upper East Side,Private room,99,21,15/06/2019
"SOHO LOFT, PRIVATE BED & BATH W/ LUXURY AMENITIES",Manhattan,Greenwich Village,Entire home/apt,225,39,18/06/2019
QUIET MIDTOWN OASIS - SUTTON PLACE,Brooklyn,Williamsburg,Private room,60,16,05/04/2019
HISTORIC LANDMARK NEIGHBORHOOD,Manhattan,Upper East Side,Entire home/apt,255,1,28/09/2015
FABULOUS STUDIO UES 30 DAYS MIN,Brooklyn,Park Slope,Entire home/apt,495,15,27/05/2019
BEAUTIFUL PRIVATE SUITE-LIKE 2FL APT. WEST VILLAGE,Brooklyn,Crown Heights,Entire home/apt,98,11,17/06/2019
PRIVATE ROOM INWOOD PARK TOP OF MANHATTAN,Manhattan,Harlem,Entire home/apt,215,107,22/06/2019
2BR DUPLEX W/ROOF DECK CLOSE TO EMPIRE STATE BUILD,Manhattan,Harlem,Entire home/apt,115,64,19/06/2019
CHARMING SUN DRENCHED SANCTUARY,Manhattan,Upper East Side,Private room,95,202,27/05/2019
COZY VACATION GETAWAY,Manhattan,Lower East Side,Entire home/apt,197,285,30/06/2019
GREAT SHARE - CENTRAL LOCATION DOWNTOWN,Brooklyn,Fort Greene,Entire home/apt,375,6,27/08/2018
"COZY, QUIET ROOM NEAR CENTRAL PARK",Staten Island,Eltingville,Private room,56,145,05/07/2019
HOME 4 MEDICAL PROFESSIONALS-KNGBR6,Manhattan,Upper West Side,Entire home/apt,225,15,16/06/2019
"HOME FOR MEDICAL PROFESSIONALS - ""THE SINGULTUS""",Manhattan,Upper West Side,Entire home/apt,264,6,24/05/2018
HOUSE 10 MIN FROM MANHATTAN W/ PARKING NEAR SUBWAY,Manhattan,Upper West Side,Entire home/apt,199,11,24/04/2019
CHARMING BEDROOM IN HARLEM,Brooklyn,Park Slope,Entire home/apt,149,19,07/04/2019
LARGE PRIVATE ROOM IN SPACIOUS APT,Brooklyn,Red Hook,Entire home/apt,142,169,24/06/2019
UNION SQUARE~RENO STUDIO~TERRACE,Manhattan,East Harlem,Entire home/apt,299,58,22/06/2019
NEW YORK 2 TO 8 GUEST + PRIVATE ROOFTOP SUPERHOST,Brooklyn,Park Slope,Entire home/apt,160,488,01/07/2019
PRIVATE BDR/BATH IN LUXURY CONDO NEAR TIMES SQUARE,Brooklyn,Bedford-Stuyvesant,Entire home/apt,127,142,28/05/2019
SUN-FILLED BROWNSTONE IN BROOKLYN,Manhattan,Lower East Side,Private room,69,36,30/06/2019
MOD 3 BR DUPLEX-EAST VILLAGE,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,4,02/11/2014
SUNNY ROOM BY PROSPECT PARK,Brooklyn,Bushwick,Entire home/apt,144,51,15/06/2019
FAB PARK SLOPE GARDEN APT W/ PATIO,Brooklyn,Williamsburg,Entire home/apt,109,214,27/06/2019
COOL STUDIO LOFT IN BROOKLYN,Queens,Astoria,Private room,38,8,12/06/2019
¬Äå«∫Ω«∫¶ƒπã≈Æ∂ ¬Äù«ã¨«´ã∆¥ó∆âã…ó¥PRIVATEBATHROOM,Brooklyn,Bedford-Stuyvesant,Entire home/apt,195,231,22/06/2019
*PIZZAZZ* FANTASTIC STUDIO APARTMENT-UPPER EAST!,Manhattan,Morningside Heights,Entire home/apt,146,91,06/06/2019
HOME AWAY FROM HOME IN QUEENS!,Brooklyn,Williamsburg,Entire home/apt,318,19,01/06/2019
"CLEAN, QUIET, 1 BDRM, GREAT LOCALE",Brooklyn,Williamsburg,Entire home/apt,140,133,27/06/2019
NEW YORK/UPPER EAST SIDE LOFT APT,Manhattan,Chelsea,Private room,85,145,24/06/2019
NICE ROOM IN BEDSTUY F,Queens,Ditmars Steinway,Private room,100,2,22/09/2014
BEAUTIFUL FULLY FURNISHED 1 BED/BTH,Manhattan,Nolita,Entire home/apt,350,8,06/05/2017
"PERFECT LOCATION DOWNTOWN, WALK EVERYWHERE!",Brooklyn,Williamsburg,Private room,77,17,01/09/2015
CHARMING NYC STUDIO LOFT NEAR SOHO!,Brooklyn,Bushwick,Private room,550,5,05/06/2015
PRIVATE ROOM IN DUPLEX APARTMENT,Brooklyn,Brooklyn Heights,Entire home/apt,155,7,17/07/2018
A HISTORIC HARLEM ABODE,Manhattan,Greenwich Village,Entire home/apt,275,12,25/09/2016
ONE BEDROOM IN THE MIDDLE OF IT ALL,Manhattan,Harlem,Private room,90,127,06/07/2019
PRIME COLUMBUS C~NEW BLDG~1BR~W/D,Brooklyn,Crown Heights,Entire home/apt,135,53,24/06/2019
BEAUTIFUL ARTIST LOFT,Brooklyn,Williamsburg,Private room,90,230,16/06/2019
GORGEOUS 1BR NEW W/D MODERN_BESTLOCATION!NYC,Brooklyn,Flatbush,Private room,38,76,03/06/2019
LARGE INDUSTRIAL APT. NEAR TRAINS & YANKEE STADIUM,Manhattan,Kips Bay,Entire home/apt,87,4,30/06/2019
1 BR TSQUARE BALCONY GREAT VIEW,Manhattan,Inwood,Private room,80,50,21/05/2017
LARGE DUPLEX NEAR SUBWAY! 5BDRM/2BA,Brooklyn,Fort Greene,Entire home/apt,250,20,23/06/2019
STYLISH GREENPOINT GEM,Brooklyn,Clinton Hill,Private room,65,52,09/06/2019
ARTFULLY RENOVATED BROWNSTONE SPACE,Manhattan,Harlem,Entire home/apt,129,17,24/06/2019
PLEASANT-PLACE JFK PRIVATE HOUSINGS COMPLEX,Manhattan,East Village,Entire home/apt,159,45,12/06/2019
SPACIOUS PRIVATE ROOM + FULL BATH!,Manhattan,West Village,Entire home/apt,249,44,21/06/2019
LOCATED IN THE HEART OF EVERYTHING!,Brooklyn,Bedford-Stuyvesant,Entire home/apt,151,52,19/06/2019
HOME 4 MEDICAL PROFESSIONALS-KNGBR4,Brooklyn,Bedford-Stuyvesant,Private room,79,70,24/06/2019
SUNNY SPACIOUS PRIVATE UNIT CLOSE CENTRAL PARK!,Manhattan,Harlem,Entire home/apt,135,76,06/07/2019
ROOM TWO IN SUN BATHED WALK-UP_2,Manhattan,Lower East Side,Entire home/apt,151,5,08/04/2019
GREAT ROOM IN WILLIAMSBURG (URIEL),Manhattan,Tribeca,Entire home/apt,600,73,14/06/2019
SPACIOUS EUROPEAN ROOM FOR RENT!,Brooklyn,Bedford-Stuyvesant,Entire home/apt,59,142,01/07/2019
MODERN ONE BED APT NEAR TIME SQUARE,Manhattan,Lower East Side,Entire home/apt,273,85,05/07/2019
BUSHWICK ARTIST LOFT,Manhattan,Harlem,Private room,70,28,26/04/2019
1BR BOTTOM FL  APT PROSPECT HEIGHTS,Brooklyn,Bedford-Stuyvesant,Entire home/apt,399,49,12/06/2019
CHEZ JESSE VACATION SPOT - GARDEN,Brooklyn,Bushwick,Private room,96,332,06/07/2019
BRIGHT AND COZY IN CROWN HEIGHTS,Manhattan,West Village,Shared room,110,47,03/06/2019
OASIS IN KENSINGTON,Manhattan,Harlem,Private room,69,249,16/06/2019
MODERN 1 BR APARTMENT,Brooklyn,Prospect-Lefferts Gardens,Private room,85,67,04/07/2019
BEDFORD AVE N. WBURG ROOM IN 2BR-1,Manhattan,East Village,Entire home/apt,145,358,03/12/2018
2  BEDROOM GREAT  APT ON  LEXINGTON  AVE MUST SEE,Brooklyn,Williamsburg,Entire home/apt,500,138,20/12/2017
4 BEDROOM TOWNHOUSE/BROWNSTONE/PROSPECT PARK,Brooklyn,East Flatbush,Entire home/apt,85,37,06/08/2018
A PRIVATE ROOM IN NEW YORK. ONE BLOCK FROM A,Brooklyn,Bedford-Stuyvesant,Entire home/apt,113,38,07/07/2019
THE RUPPE RAILROAD,Brooklyn,Williamsburg,Entire home/apt,200,175,02/07/2019
COZY AND WARM 1 BEDROOM,Manhattan,Harlem,Shared room,200,31,01/11/2016
GORGEOUS 6 BED FAMILY HOME / WILLIAMSBURG,Brooklyn,South Slope,Entire home/apt,110,4,19/05/2016
CLEAN & COZY EAST VILLAGE PAD,Brooklyn,Clinton Hill,Entire home/apt,500,19,05/05/2019
SPACIOUS BRIGHT WEST VILLAGE APT!,Brooklyn,Williamsburg,Entire home/apt,200,14,30/06/2019
MODERN APT - VIBRANT NEIGHBORHOOD!,Manhattan,Upper East Side,Private room,69,9,04/04/2016
BEAUTIFUL MASTER BEDROOM EAST SIDE C7,Manhattan,West Village,Entire home/apt,200,64,24/06/2019
SHARED LIVING AND BATHROOM BROOKLYN RENTAL,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,140,7,01/01/2019
"HOME 4 MEDICAL PROFESSIONALS - THE ""HORRIPILATION""",Brooklyn,Crown Heights,Private room,45,37,24/06/2019
"CLEAN, COZY ONE BEDROOM APARTMENT",Manhattan,Washington Heights,Entire home/apt,70,7,06/07/2018
HOME 4 MEDICAL PROFESSIONALS- ST JOHNS EPISCOPAL 4,Manhattan,Hell's Kitchen,Private room,200,62,09/06/2019
"HUGE 1BR, 22MIN TO MANHATTAN, STEPS TO PROSPECT PK",Manhattan,East Village,Entire home/apt,365,62,01/07/2019
LUXURY UPPER WEST SIDE STUDIO,Brooklyn,Clinton Hill,Private room,99,83,12/06/2019
ADORABLE PRIVATE ROOM W/ BACKYARD!,Manhattan,Lower East Side,Entire home/apt,175,9,07/12/2018
GORGEOUS STUDIO IN GREENWICH VILLAGE,Manhattan,Gramercy,Entire home/apt,220,60,24/06/2019
3 BEDROOM BROWNSTONE DUPLEX,Manhattan,Washington Heights,Private room,80,3,19/10/2015
SPACIOUS CHIQUE BROOKLYN GEM,Manhattan,Harlem,Private room,60,2,12/11/2018
SO CLEAN SO CONVENIENT.,Brooklyn,Prospect-Lefferts Gardens,Private room,45,8,09/06/2019
SUNNY 2 BEDROOM APT IN BROWNSTONE,Manhattan,East Harlem,Entire home/apt,100,50,12/05/2019
LUX 2BED/2.5BATH CENTRAL PARK VIEW!,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,60,30/06/2019
VIBRANT MANHATTAN ARTIST LOFT,Brooklyn,Crown Heights,Private room,99,8,24/06/2016
LARGE SUNNY 1BD IN CHELSEA!,Brooklyn,Bushwick,Entire home/apt,122,157,01/07/2019
"CHARMING, QUIET AND COMFORTABLE 1BR",Manhattan,Harlem,Entire home/apt,140,292,26/06/2019
"HOME 4 MEDICAL PROFESSIONALS- THE ""ZONA""",Brooklyn,Windsor Terrace,Private room,38,77,28/04/2019
"SUNNY, COMFY AND QUIET ROOM",Manhattan,West Village,Entire home/apt,200,16,02/07/2019
SPACIOUS AND SUNNY STUDIO LOFT IN BROOKLYN,Manhattan,Harlem,Private room,45,13,14/07/2018
"EXPERIENCE BROWNSTONE BROOKLYN: COMFY, ROOMY 2BR",Queens,St. Albans,Entire home/apt,108,81,27/06/2019
PARIS IN MANHATTAN WITH 2 BALCONIES,Brooklyn,Prospect Heights,Entire home/apt,129,15,23/05/2019
SUN DRENCHED 1 BED - FEW MINS WALK FROM SUBWAY,Brooklyn,Fort Greene,Entire home/apt,275,180,19/06/2019
4TH FL LARGE PRIVATE ROOM - CENTRAL PARK & ROOFTOP,Manhattan,Midtown,Entire home/apt,148,9,25/03/2019
MODERN + SPACIOUS 1 BD W/ THE WORKS,Brooklyn,Crown Heights,Entire home/apt,130,150,03/07/2019
5TH FL PRIVATE SUITE & BATH - CENTRAL PARK,Brooklyn,Park Slope,Private room,180,192,29/06/2019
BROOKLYN'S FINEST!  HUGE APT NEXT TO TRAIN & PARK!,Manhattan,Washington Heights,Private room,145,61,17/05/2019
2 BEDROOM HOME IN BROOKLYN,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,51,29/10/2018
ELEGANT PRIVATE STUDIO - TOWN HOUSE,Brooklyn,Brownsville,Entire home/apt,70,56,29/10/2018
PERFECT HOLIDAY HOUSE IN NYC,Manhattan,Kips Bay,Entire home/apt,120,116,29/05/2019
ROOM IN BIG DUPLEX AND BACKYARD!,Manhattan,Washington Heights,Private room,59,26,25/05/2019
PERFECT STUDIO ON FT. GREEN PARK!,Brooklyn,Flatbush,Private room,91,33,01/07/2019
CHARMING BROOKLYN BROWNSTONE HOME - GREAT LOCATION,Queens,Bay Terrace,Entire home/apt,184,146,19/06/2019
PRIVATE ROOM IN JACKSON HEIGHTS APARTMENT 2+,Manhattan,Gramercy,Private room,150,147,14/06/2019
SUNNY APT. IN RENOVATED BROWNSTONE,Manhattan,Harlem,Private room,65,45,09/06/2019
NEW YORK CITY PRIVATE ROOM NEAR METRO,Manhattan,East Village,Private room,65,13,05/05/2019
NEWLY RENOVATED NEAR CENTRAL PARK,Brooklyn,Carroll Gardens,Private room,80,88,02/04/2018
NEW BLDG~JUNIOR 1~COLOMBUS CIRCLE~TERRACE~WD,Brooklyn,Prospect-Lefferts Gardens,Private room,80,122,06/06/2019
SPACIOUS UES 1 BEDROOM APARTMENT,Manhattan,East Harlem,Private room,75,2,05/08/2018
"NEW CITY VIEW 1BR LOFT, GREENPOINT",Brooklyn,South Slope,Entire home/apt,192,6,28/04/2019
NEW! 2-BED APT NEAR CENTRAL PARK,Manhattan,East Harlem,Private room,50,3,12/02/2019
COZY & CLEAN PRIVATE BEDROOM&BATH-LGBTQIA WELCOME!,Manhattan,East Harlem,Private room,58,2,04/07/2017
PARK BLOCK STUDIO,Queens,Long Island City,Entire home/apt,120,25,21/05/2019
YOUR BROOKLYN NEST,Brooklyn,Bushwick,Private room,50,14,10/06/2019
BEAUTIFUL ROOM NEAR S. ST. SEAPORT,Brooklyn,Sunset Park,Private room,85,47,23/06/2019
COZY PRIVATE ROOM IN ASTORIA,Queens,Ridgewood,Private room,59,173,19/06/2019
HAND CRAFTED WILLIAMSBURG SANCTUARY,Manhattan,Upper East Side,Entire home/apt,130,3,10/08/2018
REAL LUXURY MY SUNNY ALCOVE STUDIO,Manhattan,Lower East Side,Entire home/apt,104,11,16/03/2019
COZY AND BRIGHT ROOM WITH A CLOSET,Queens,Sunnyside,Entire home/apt,95,8,21/11/2018
"LARGE, SUNNY, PRIVATE STUDIO APT 2R",Manhattan,Hell's Kitchen,Entire home/apt,199,40,20/05/2019
SINGLE ROOM IN TOWNHOUSE WITH YARD!,Bronx,Concourse,Private room,105,3,16/09/2018
PARK SLOPE CENTER GARDEN STUDIO  ,Brooklyn,Bedford-Stuyvesant,Private room,34,81,04/07/2019
"SPACIOUS, RENOVATED 1 BR LOFT APT",Queens,Queens Village,Entire home/apt,125,30,14/03/2019
"BRIGHT, SUNNY GRAMERCY APARTMENT!",Queens,Sunnyside,Private room,80,57,08/06/2019
MANHATTAN FULL APT NEXT TO SUBWAY!,Queens,Sunnyside,Entire home/apt,95,10,19/04/2019
SOARING BUSHWICK 3 BEDROOM,Manhattan,Morningside Heights,Private room,150,13,15/04/2019
LOWER EAST SIDE STUDIO !,Brooklyn,Windsor Terrace,Entire home/apt,140,28,07/07/2019
ARCHITECTS CENTRAL SOHO 1BR HOME,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,117,21/06/2019
¬Äå«∫Ω«∫¶ƒπã≈Æ∂¬Äù «ã¨«´ã∆¥ó∆âã…ó¥PRIVATEBATHROOM,Manhattan,Chelsea,Entire home/apt,95,13,30/04/2019
"BEAUTIFUL APT UPPER WEST SIDE, 68ST ONLY GIRLS",Brooklyn,Greenpoint,Entire home/apt,159,3,09/09/2016
"LIVE LIKE A LOCAL! QUEEN SIZE BED, PRIVATE ROOM.",Brooklyn,Prospect Heights,Entire home/apt,175,25,05/01/2019
"2 BEDROOM, DOORMAN. ROOF DECK. SKYVIEW!",Brooklyn,Sheepshead Bay,Entire home/apt,260,3,13/03/2017
SPACIOUS PRIVATE ROOM IN WASH HTS!,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,80,24,23/06/2019
COZY BEDROOM IN A GREAT LOCATION.,Brooklyn,Bedford-Stuyvesant,Private room,69,56,02/07/2019
#1 LARGE STUDIO NEAR CENTRAL PARK!,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,36,02/08/2018
LOWER EAST SIDE MINIMALIST STUDIO,Queens,Ditmars Steinway,Private room,85,31,04/06/2019
AFFORDABLE COZY PRIVATE ROOM,Manhattan,Upper East Side,Entire home/apt,160,15,07/04/2019
SOHO/NOLITA - BEST LOCATION - LARGE 1 BDRM.,Manhattan,Gramercy,Entire home/apt,150,2,07/08/2015
WHITE PRIVATE ROOM WITH 0MIN TO BUS STOP,Manhattan,Hell's Kitchen,Entire home/apt,115,3,22/02/2016
"SLEEPING IN NYC, LIKE HOME (1).",Queens,Rockaway Beach,Private room,113,36,07/07/2019
A BEAUTIFUL BROWNSTONE IN BED-STUY.,Manhattan,Hell's Kitchen,Entire home/apt,110,10,15/03/2019
AWESOME MODERN ROOM IN CHARMING AREA+ SWEET ROOF B,Brooklyn,Crown Heights,Entire home/apt,81,99,06/01/2019
"COZY APARTMENT ,IN UPTOWN MANHATTAN",Manhattan,Hell's Kitchen,Private room,69,168,23/06/2019
APT. IN CLASSIC BROOKLYN BROWNSTONE,Manhattan,Upper East Side,Entire home/apt,175,2,30/05/2019
NYC CHARMING HARLEM BROWNSTONE W/ PRIVATE GARDEN!,Brooklyn,Midwood,Private room,49,26,15/04/2019
SPACIOUS BEDROOM IN OVERSIZED APT.,Manhattan,Nolita,Entire home/apt,191,51,30/06/2019
MODERN WILLIAMSBURG TREEHOUSE,Brooklyn,Crown Heights,Entire home/apt,216,233,02/07/2019
COZY HARLEM STAY,Manhattan,Upper East Side,Entire home/apt,118,4,02/02/2019
